time,open,high,low,close,volume
1554076800000,62.0,62.0,62.0,62.0,0
1554163200000,60.0,60.0,60.0,60.0,0
1554249600000,71.0,71.0,71.0,71.0,0
1554336000000,61.0,61.0,61.0,61.0,0
1554422400000,59.0,59.0,59.0,59.0,0
1554508800000,65.0,65.0,65.0,65.0,0
1554595200000,69.0,69.0,69.0,69.0,0
1554681600000,65.0,65.0,65.0,65.0,0
1554768000000,64.0,64.0,64.0,64.0,0
1554854400000,62.0,62.0,62.0,62.0,0
1554940800000,65.0,65.0,65.0,65.0,0
1555027200000,42.0,42.0,42.0,42.0,0
1555113600000,62.0,62.0,62.0,62.0,0
1555200000000,51.0,51.0,51.0,51.0,0
1555286400000,60.0,60.0,60.0,60.0,0
1555372800000,50.0,50.0,50.0,50.0,0
1555459200000,61.0,61.0,61.0,61.0,0
1555545600000,64.0,64.0,64.0,64.0,0
1555632000000,61.0,61.0,61.0,61.0,0
1555718400000,62.0,62.0,62.0,62.0,0
1555804800000,62.0,62.0,62.0,62.0,0
1555891200000,61.0,61.0,61.0,61.0,0
1555977600000,68.0,68.0,68.0,68.0,0
1556064000000,65.0,65.0,65.0,65.0,0
1556150400000,58.0,58.0,58.0,58.0,0
1556236800000,41.0,41.0,41.0,41.0,0
1556323200000,42.0,42.0,42.0,42.0,0
1556409600000,40.0,40.0,40.0,40.0,0
1556496000000,42.0,42.0,42.0,42.0,0
1556582400000,42.0,42.0,42.0,42.0,0
1556668800000,51.0,51.0,51.0,51.0,0
1556755200000,50.0,50.0,50.0,50.0,0
1556841600000,63.0,63.0,63.0,63.0,0
1556928000000,66.0,66.0,66.0,66.0,0
1557014400000,67.0,67.0,67.0,67.0,0
1557100800000,57.0,57.0,57.0,57.0,0
1557187200000,69.0,69.0,69.0,69.0,0
1557273600000,63.0,63.0,63.0,63.0,0
1557360000000,69.0,69.0,69.0,69.0,0
1557446400000,71.0,71.0,71.0,71.0,0
1557532800000,76.0,76.0,76.0,76.0,0
1557619200000,75.0,75.0,75.0,75.0,0
1557705600000,78.0,78.0,78.0,78.0,0
1557792000000,78.0,78.0,78.0,78.0,0
1557878400000,77.0,77.0,77.0,77.0,0
1557964800000,75.0,75.0,75.0,75.0,0
1558051200000,65.0,65.0,65.0,65.0,0
1558137600000,67.0,67.0,67.0,67.0,0
1558224000000,70.0,70.0,70.0,70.0,0
1558310400000,73.0,73.0,73.0,73.0,0
1558396800000,68.0,68.0,68.0,68.0,0
1558483200000,69.0,69.0,69.0,69.0,0
1558569600000,65.0,65.0,65.0,65.0,0
1558656000000,64.0,64.0,64.0,64.0,0
1558742400000,69.0,69.0,69.0,69.0,0
1558828800000,67.0,67.0,67.0,67.0,0
1558915200000,70.0,70.0,70.0,70.0,0
1559001600000,71.0,71.0,71.0,71.0,0
1559088000000,71.0,71.0,71.0,71.0,0
1559174400000,73.0,73.0,73.0,73.0,0
1559260800000,61.0,61.0,61.0,61.0,0
1559347200000,62.0,62.0,62.0,62.0,0
1559433600000,63.0,63.0,63.0,63.0,0
1559520000000,66.0,66.0,66.0,66.0,0
1559606400000,42.0,42.0,42.0,42.0,0
1559692800000,27.0,27.0,27.0,27.0,0
1559779200000,34.0,34.0,34.0,34.0,0
1559865600000,27.0,27.0,27.0,27.0,0
1559952000000,62.0,62.0,62.0,62.0,0
1560038400000,62.0,62.0,62.0,62.0,0
1560124800000,46.0,46.0,46.0,46.0,0
1560211200000,61.0,61.0,61.0,61.0,0
1560297600000,60.0,60.0,60.0,60.0,0
1560384000000,63.0,63.0,63.0,63.0,0
1560470400000,67.0,67.0,67.0,67.0,0
1560556800000,75.0,75.0,75.0,75.0,0
1560643200000,80.0,80.0,80.0,80.0,0
1560729600000,84.0,84.0,84.0,84.0,0
1560816000000,83.0,83.0,83.0,83.0,0
1560902400000,82.0,82.0,82.0,82.0,0
1560988800000,81.0,81.0,81.0,81.0,0
1561075200000,84.0,84.0,84.0,84.0,0
1561161600000,83.0,83.0,83.0,83.0,0
1561248000000,84.0,84.0,84.0,84.0,0
1561334400000,80.0,80.0,80.0,80.0,0
1561420800000,87.0,87.0,87.0,87.0,0
1561507200000,95.0,95.0,95.0,95.0,0
1561593600000,92.0,92.0,92.0,92.0,0
1561680000000,62.0,62.0,62.0,62.0,0
1561766400000,74.0,74.0,74.0,74.0,0
1561852800000,78.0,78.0,78.0,78.0,0
1561939200000,65.0,65.0,65.0,65.0,0
1562025600000,63.0,63.0,63.0,63.0,0
1562112000000,79.0,79.0,79.0,79.0,0
1562198400000,76.0,76.0,76.0,76.0,0
1562284800000,67.0,67.0,67.0,67.0,0
1562371200000,72.0,72.0,72.0,72.0,0
1562457600000,67.0,67.0,67.0,67.0,0
1562544000000,74.0,74.0,74.0,74.0,0
1562630400000,84.0,84.0,84.0,84.0,0
1562716800000,83.0,83.0,83.0,83.0,0
1562803200000,62.0,62.0,62.0,62.0,0
1562889600000,33.0,33.0,33.0,33.0,0
1562976000000,65.0,65.0,65.0,65.0,0
1563062400000,61.0,61.0,61.0,61.0,0
1563148800000,16.0,16.0,16.0,16.0,0
1563235200000,34.0,34.0,34.0,34.0,0
1563321600000,19.0,19.0,19.0,19.0,0
1563408000000,40.0,40.0,40.0,40.0,0
1563494400000,42.0,42.0,42.0,42.0,0
1563580800000,34.0,34.0,34.0,34.0,0
1563667200000,42.0,42.0,42.0,42.0,0
1563753600000,42.0,42.0,42.0,42.0,0
1563840000000,40.0,40.0,40.0,40.0,0
1563926400000,20.0,20.0,20.0,20.0,0
1564012800000,42.0,42.0,42.0,42.0,0
1564099200000,24.0,24.0,24.0,24.0,0
1564185600000,47.0,47.0,47.0,47.0,0
1564272000000,16.0,16.0,16.0,16.0,0
1564358400000,19.0,19.0,19.0,19.0,0
1564444800000,22.0,22.0,22.0,22.0,0
1564531200000,31.0,31.0,31.0,31.0,0
